polearm | «Улов» | 510 | energy_recharge | 45.9 | 
claymore | Церемониальный двуручный меч | 565 | energy_recharge | 30.6 | 
bow | Церемониальный лук | 565 | energy_recharge | 30.6 | 
sword | Церемониальный меч | 454 | energy_recharge | 61.3 | 
polearm | Чёрная кисть | 354 | hp | 46.9 | 
claymore | Черногорская бритва | 510 | krit_dmg | 55.1 | 
polearm | Черногорская пика | 510 | krit_dmg | 55.1 | 
catalyst | Черногорский агат | 510 | krit_dmg | 55.1 | 
bow | Черногорский боевой лук | 565 | krit_dmg | 36.8 | 
sword | Черногорский длинный меч | 565 | krit_dmg | 36.8 | 
sword | Чёрный меч | 510 | krit_chance | 27.6 | 
bow | Элегия погибели | 608 | energy_recharge | 55.1 | 
catalyst | Эпос о драконоборцах | 401 | hp | 35.22 | 
